,Year,value,indicator,Country Code,Country Name,Region,Income Group,Lending Type
0,2016,2.7780347884000003,SP.POP.GROW,AFG,Afghanistan,South Asia,Low income,IDA
1,2017,2.5478330399,SP.POP.GROW,AFG,Afghanistan,South Asia,Low income,IDA
2,2018,2.3843090794,SP.POP.GROW,AFG,Afghanistan,South Asia,Low income,IDA
3,2019,2.3130733494,SP.POP.GROW,AFG,Afghanistan,South Asia,Low income,IDA
4,2020,2.3038120931,SP.POP.GROW,AFG,Afghanistan,South Asia,Low income,IDA
5,2021,2.3034121331,SP.POP.GROW,AFG,Afghanistan,South Asia,Low income,IDA
6,2016,-0.1598804121,SP.POP.GROW,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
7,2017,-0.0919722937,SP.POP.GROW,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
8,2018,-0.2467320423,SP.POP.GROW,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
9,2019,-0.426007367,SP.POP.GROW,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
10,2020,-0.5742069592,SP.POP.GROW,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
11,2021,-0.9269180616,SP.POP.GROW,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
12,2016,2.0513523734,SP.POP.GROW,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
13,2017,2.0449093128,SP.POP.GROW,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
14,2018,2.0073986631,SP.POP.GROW,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
15,2019,1.9339833442,SP.POP.GROW,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
16,2020,1.8365335044000002,SP.POP.GROW,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
17,2021,1.7308065662,SP.POP.GROW,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
18,2016,-0.12013090330000001,SP.POP.GROW,ASM,American Samoa,East Asia & Pacific,Upper middle income,Not classified
19,2017,-0.2191171537,SP.POP.GROW,ASM,American Samoa,East Asia & Pacific,Upper middle income,Not classified
20,2018,-0.280883888,SP.POP.GROW,ASM,American Samoa,East Asia & Pacific,Upper middle income,Not classified
21,2019,-0.2690187859,SP.POP.GROW,ASM,American Samoa,East Asia & Pacific,Upper middle income,Not classified
22,2020,-0.2081279199,SP.POP.GROW,ASM,American Samoa,East Asia & Pacific,Upper middle income,Not classified
23,2021,-0.17044428420000002,SP.POP.GROW,ASM,American Samoa,East Asia & Pacific,Upper middle income,Not classified
24,2016,-0.8989808624000001,SP.POP.GROW,AND,Andorra,Europe & Central Asia,High income,Not classified
25,2017,-0.3862810393,SP.POP.GROW,AND,Andorra,Europe & Central Asia,High income,Not classified
26,2018,0.0142852505,SP.POP.GROW,AND,Andorra,Europe & Central Asia,High income,Not classified
27,2019,0.1790417853,SP.POP.GROW,AND,Andorra,Europe & Central Asia,High income,Not classified
28,2020,0.1541341272,SP.POP.GROW,AND,Andorra,Europe & Central Asia,High income,Not classified
29,2021,0.1151216989,SP.POP.GROW,AND,Andorra,Europe & Central Asia,High income,Not classified
30,2016,3.3782694322,SP.POP.GROW,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
31,2017,3.3221583626,SP.POP.GROW,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
